segment_id,phase,model_best_phase,model_best_score,model_best_cluster,anomaly_score,is_anomaly
abfcb6-0-f63ec8b101fc,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
acd68a-0-0476aa770c18,DEPARTURE,DEPARTURE,0.3882592608171957,0.0,0.3882592608171957,False
a70bd1-0-1d14272b9a1c,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-a48a8f-1766845432.67-1766846302.74-2064-63b7a4ad59d2,DEPARTURE,DEPARTURE,0.14963054925356728,0.0,0.14963054925356728,False
Dec 27 2025-a86925-1766871362.42-1766872116.71-536-36d516d43f45,DEPARTURE,DEPARTURE,0.23749189687518132,0.0,0.23749189687518132,False
Dec 27 2025-a6ef4d-1766861128.79-1766861634.69-1144-b43c433fb995,DEPARTURE,DEPARTURE,1.4180557596919645,-1.0,1.4180557596919645,True
ac5b43-0-89cea6e03001,DEPARTURE,DEPARTURE,0.28647370280319107,0.0,0.28647370280319107,False
Dec 29 2025-ac2f18-1766986335.32-1766987117.18-174-8d3f85bfa2c2,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-a3524e-1766868966.87-1766869716.57-1161-187769beb2e2,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-ac3beb-1766810297.64-1766811094.92-3486-c0e2caf26cbd,DEPARTURE,DEPARTURE,0.3431992632670794,0.0,0.3431992632670794,False
Dec 27 2025-ab4b34-1766874778.99-1766875603.31-728-461eaf579757,DEPARTURE,DEPARTURE,0.30932993793022,0.0,0.30932993793022,False
Dec 29 2025-8966d4-1766975637.07-1766976359.73-1558-f599e8916b45,DEPARTURE,DEPARTURE,0.3701597872801877,0.0,0.3701597872801877,False
Dec 27 2025-a3901d-1766844795.27-1766845536.92-439-e9a3d1df10ba,DEPARTURE,DEPARTURE,0.18246016204857862,0.0,0.18246016204857862,False
Dec 28 2025-ac5ab7-1766891512.19-1766892419.6-2224-cf0a22d12d82,DEPARTURE,DEPARTURE,0.16596834887499298,0.0,0.16596834887499298,False
ad34b9-0-a5bcb9d8abee,DEPARTURE,DEPARTURE,0.29927557933273213,0.0,0.29927557933273213,False
a9844d-0-530266e094c5,DEPARTURE,DEPARTURE,0.7425329089414121,0.0,0.7425329089414121,False
ac066b-0-5116ba98f849,DEPARTURE,DEPARTURE,0.1539302820207994,0.0,0.1539302820207994,False
Dec 28 2025-ac83d5-1766956933.4-1766957658.97-2566-c7becb5bff10,DEPARTURE,DEPARTURE,0.33635909808243897,0.0,0.33635909808243897,False
ad14f9-0-5a8f9dec783a,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
aaeae5-0-c2d0e62e7b87,DEPARTURE,DEPARTURE,0.32210101279739456,0.0,0.32210101279739456,False
Dec 27 2025-a3e011-1766803209.2-1766803953.91-239-d8c9b8b6d37d,DEPARTURE,DEPARTURE,0.37117128022973395,0.0,0.37117128022973395,False
Dec 27 2025-a51334-1766879684.78-1766879999.23-719-b18e81d06901,DEPARTURE,DEPARTURE,0.7121529736977127,0.0,0.7121529736977127,False
Dec 28 2025-abd9d9-1766934751.5-1766935408.07-2610-e2b0567212ab,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-adcca5-1766864825.34-1766865720.2-2417-d027f1f11246,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-a17c12-1766951980.76-1766952828.1-234-90cb107117e5,DEPARTURE,DEPARTURE,0.3719526869371052,0.0,0.3719526869371052,False
Dec 27 2025-a017a8-1766842981.96-1766843734.05-2452-a0ef9557f1ff,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-a42020-1766891071.58-1766891932.78-390-aca70455117e,DEPARTURE,DEPARTURE,0.3396109831898629,0.0,0.3396109831898629,False
aa1b21-0-d0f7b80295de,DEPARTURE,DEPARTURE,0.34028413597720947,0.0,0.34028413597720947,False
Dec 28 2025-ac83d5-1766943787.51-1766944559.57-2564-5aaceb8f520e,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-a8bc34-1766859677.3-1766860418.03-725-6d03200b10fb,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-a3f401-1766858615.48-1766859433.37-27-52d6caef0ab0,DEPARTURE,DEPARTURE,0.35467602786699165,0.0,0.35467602786699165,False
a4bbde-0-b04a2a2b32fc,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-a67bd3-1766955037.3-1766955916.06-2530-55762eb24ac3,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
ac7074-0-bca13d3bed73,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 29 2025-c02e8f-1767007858.37-1767008627.55-1042-5c95f14ba0a7,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-aca3e6-1766937126.53-1766938047.61-2788-6135c6366cfd,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a37a02-0-f90c3490e211,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 29 2025-a3b3df-1767017801.67-1767018635.85-1623-6de47c0a8ebe,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a3117c-0-87c4dd9f3710,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-aaa90c-1766871554.57-1766872391.71-156-f756eb58dfc1,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-aa818d-1766796937.38-1766797880.93-2030-10863e9199bf,DEPARTURE,DEPARTURE,0.4563883844713459,0.0,0.4563883844713459,False
a15a2c-0-9534afb37420,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-a4e35f-1766795123.5-1766796018.24-1364-fd1d40552342,DEPARTURE,DEPARTURE,0.25774887384922673,0.0,0.25774887384922673,False
abb68c-0-c957a8864323,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
ad63f7-0-243ae8a47508,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-a16221-1766931419.16-1766932735.69-401-90bb75aaab7c,DEPARTURE,DEPARTURE,0.3286628309539065,0.0,0.3286628309539065,False
Dec 29 2025-ac382e-1766969129.9-1766969810.09-337-39bb47895d4a,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-06a121-1766796566.94-1766797450.1-481-3436022ffa6a,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-a3524e-1766894773.56-1766895518.66-928-c87915d99daf,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-ad7796-1766846672.11-1766847022.9-2183-076706c7ad3e,DEPARTURE,DEPARTURE,1.6793283744294045,-1.0,1.6793283744294045,True
Dec 27 2025-acf84e-1766796455.2-1766797198.6-1167-f145ec9de14a,DEPARTURE,DEPARTURE,0.40798125387086326,0.0,0.40798125387086326,False
ad63f7-0-1be3bd5a8e6b,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-a48321-1766867756.59-1766868520.18-485-a56e71a70ec9,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
ab09b4-0-68333f636196,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a3f4ea-0-86662246084d,DEPARTURE,DEPARTURE,0.4755480830859559,0.0,0.4755480830859559,False
a7ed1a-0-b4d913cfa184,DEPARTURE,DEPARTURE,1.0041645995579132,-1.0,1.0041645995579132,True
Dec 27 2025-a33339-1766847389.05-1766848138.15-798-6a8ea783c6b3,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a09961-0-ec4e15212593,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-a88380-1766876812.79-1766877727.23-1860-2e8104db11ed,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
aa568e-0-9167db0e6839,DEPARTURE,DEPARTURE,0.49481321983869725,0.0,0.49481321983869725,False
ad185f-0-cbf9dd4c4d65,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a44e18-0-39db032a63fa,DEPARTURE,DEPARTURE,0.24538271954357474,0.0,0.24538271954357474,False
Dec 27 2025-a3f04a-1766847315.66-1766848124.44-1092-7746e087c909,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-ad5679-1766898154.76-1766898970.51-1424-eae1f432a9ac,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
ac2038-0-612dc8e8a83f,DEPARTURE,DEPARTURE,0.2801391560606782,0.0,0.2801391560606782,False
Dec 28 2025-ac3477-1766925678.8-1766926370.57-1386-6e3b7bd129d8,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 30 2025-a04f04-1767138706.29-1767139199.44-47-a830e6dd0809,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a44cca-0-f5baecb0a3a8,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-ab2c0c-1766877555.59-1766878438.34-157-c47a808a8197,DEPARTURE,DEPARTURE,0.468739242433354,0.0,0.468739242433354,False
Dec 27 2025-a745e9-1766845019.14-1766846064.71-3444-1bbc0054d027,DEPARTURE,DEPARTURE,0.6896131933375749,0.0,0.6896131933375749,False
Dec 27 2025-a145b7-1766841315.78-1766842063.18-2691-911cf159f935,DEPARTURE,DEPARTURE,0.280041934468175,0.0,0.280041934468175,False
adb2a4-0-b7454ca3e4ff,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
